HomeTeam,AwayTeam,FTHG,FTAG
Barbados,Canada,1,4
Moldova,Sweden,0,1
Barbados,Canada,1,4
Kosovo,Sweden,0,1
Canada,Iceland,0,1
El Salvador,Iceland,0,1
United States,Costa Rica,1,0
Germany,Spain,1,1
Ukraine,Switzerland,2,1
Russia,Serbia,3,1
Turkey,Hungary,0,1
Bulgaria,Republic of Ireland,1,1
Finland,Wales,0,1
Moldova,Kosovo,1,1
Slovenia,Greece,0,0
Latvia,Andorra,0,0
Faroe Islands,Malta,3,2
Italy,Bosnia and Herzegovina,1,1
Netherlands,Poland,1,0
Norway,Austria,1,2
Romania,Northern Ireland,1,1
Scotland,Israel,1,1
Slovakia,Czech Republic,1,3
Lithuania,Kazakhstan,0,2
Belarus,Albania,0,2
Iceland,England,0,1
Denmark,Belgium,0,2
Portugal,Croatia,4,1
Sweden,France,0,1
Cyprus,Montenegro,0,2
Azerbaijan,Luxembourg,1,2
North Macedonia,Armenia,2,1
Estonia,Georgia,0,1
Gibraltar,San Marino,1,0
Spain,Ukraine,4,0
Switzerland,Germany,1,1
Hungary,Russia,2,3
Serbia,Turkey,0,0
Wales,Bulgaria,1,0
Republic of Ireland,Finland,0,1
Slovenia,Moldova,1,0
Kosovo,Greece,1,2
Andorra,Faroe Islands,0,1
Malta,Latvia,1,1
Bosnia and Herzegovina,Poland,1,2
Netherlands,Italy,0,1
Northern Ireland,Norway,1,5
Austria,Romania,2,3
Czech Republic,Scotland,1,2
Israel,Slovakia,1,1
Kazakhstan,Belarus,1,2
Albania,Lithuania,0,1
Belgium,Iceland,5,1
Denmark,England,0,0
France,Croatia,4,2
Sweden,Portugal,0,2
Luxembourg,Montenegro,0,1
Cyprus,Azerbaijan,0,1
Armenia,Estonia,2,0
Georgia,North Macedonia,1,1
San Marino,Liechtenstein,0,2
Nicaragua,Guatemala,0,0
Andorra,Cape Verde,1,2
Austria,Greece,2,1
Cyprus,Czech Republic,1,2
Denmark,Faroe Islands,4,0
Estonia,Lithuania,1,3
France,Ukraine,7,1
Germany,Turkey,3,3
Italy,Moldova,6,0
Luxembourg,Liechtenstein,1,2
Malta,Gibraltar,2,0
Montenegro,Latvia,1,1
Netherlands,Mexico,0,1
Poland,Finland,5,1
Portugal,Spain,0,0
Slovenia,San Marino,4,0
Switzerland,Croatia,1,2
Zambia,Malawi,1,0
Belgium,Ivory Coast,1,1
England,Wales,3,0
Russia,Sweden,1,2
South Africa,Namibia,1,1
Uzbekistan,Iran,1,2
Paraguay,Peru,2,2
Uruguay,Chile,2,1
Argentina,Ecuador,1,0
Iceland,Romania,2,1
Bulgaria,Hungary,1,3
Bosnia and Herzegovina,Northern Ireland,1,1
Slovakia,Republic of Ireland,0,0
Scotland,Israel,0,0
Norway,Serbia,1,2
Georgia,Belarus,1,0
North Macedonia,Kosovo,2,1
Burkina Faso,DR Congo,3,0
Congo,Gambia,0,1
Japan,Cameroon,0,0
Kenya,Zambia,2,1
Mali,Ghana,3,0
Mauritania,Sierra Leone,2,1
Morocco,Senegal,3,1
Nigeria,Algeria,0,1
Tunisia,Sudan,3,0
Colombia,Venezuela,3,0
Brazil,Bolivia,5,0
Spain,Switzerland,1,0
Ukraine,Germany,1,2
Luxembourg,Cyprus,2,0
Montenegro,Azerbaijan,2,0
Faroe Islands,Latvia,1,1
Andorra,Malta,0,0
Liechtenstein,Gibraltar,0,1
Cape Verde,Guinea,1,2
Costa Rica,Panama,0,1
Honduras,Nicaragua,1,1
Niger,Chad,2,0
Bosnia and Herzegovina,Netherlands,0,0
Poland,Italy,0,0
England,Belgium,2,1
Iceland,Denmark,0,3
Croatia,Sweden,2,1
France,Portugal,0,0
Norway,Romania,4,0
Northern Ireland,Austria,0,1
Scotland,Slovakia,1,0
Israel,Czech Republic,1,2
Serbia,Hungary,0,1
Russia,Turkey,1,1
Republic of Ireland,Wales,0,0
Finland,Bulgaria,2,0
Armenia,Georgia,2,2
Estonia,North Macedonia,3,3
Kosovo,Slovenia,0,1
Greece,Moldova,2,0
Kazakhstan,Albania,0,0
Lithuania,Belarus,2,2
Gabon,Benin,0,2
Malawi,Zimbabwe,0,0
South Africa,Zambia,1,2
Tanzania,Burundi,0,1
Burkina Faso,Madagascar,2,1
Ghana,Qatar,5,1
Togo,Sudan,1,1
United Arab Emirates,Uzbekistan,1,2
Cameroon,South Sudan,0,0
Germany,Switzerland,3,3
Ukraine,Spain,1,0
Azerbaijan,Cyprus,0,0
Montenegro,Luxembourg,1,2
Latvia,Malta,0,1
Faroe Islands,Andorra,2,0
Liechtenstein,San Marino,0,0
Costa Rica,Panama,0,1
Japan,Ivory Coast,1,0
Mexico,Algeria,2,2
